id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,quartier
2025-1075446,2025-01-10,1,Vente,642105.0,166.0,,CHE DU PETIT BOIS,5720,83000.0,83137,Toulon,83,,,83137000BO0305,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,398.0,5.955265,43.112402,Toulon - Haute ville
2025-1075447,2025-01-10,1,Vente,945000.0,63.0,,RUE VICTOR CLAPPIER,7145,83000.0,83137,Toulon,83,,,83137000CK0244,,,,,,,,,,,,,0,4.0,Local industriel. commercial ou assimilé,539.0,0.0,S,sols,,,176.0,5.935364,43.125259,Toulon - Haute ville
2025-1075448,2025-01-07,1,Vente,142000.0,24.0,,RUE ANATOLE FRANCE,0285,83000.0,83137,Toulon,83,,,83137000CN0059,,,32.0,52.91,38.0,,,,,,,,2,2.0,Appartement,55.0,2.0,,,,,,5.929514,43.122706,Toulon - Haute ville
2025-1075448,2025-01-07,1,Vente,142000.0,24.0,,RUE ANATOLE FRANCE,0285,83000.0,83137,Toulon,83,,,83137000CN0059,,,32.0,52.91,38.0,,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.929514,43.122706,Toulon - Haute ville
2025-1075449,2025-01-10,1,Vente,128000.0,41.0,,ALL DU 8 MAI 1945,3692,83000.0,83137,Toulon,83,,,83137000BY0040,,,132.0,,201.0,54.89,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.937337,43.114377,Toulon - Haute ville
2025-1075449,2025-01-10,1,Vente,128000.0,41.0,,ALL DU 8 MAI 1945,3692,83000.0,83137,Toulon,83,,,83137000BY0040,,,132.0,,201.0,54.89,,,,,,,2,2.0,Appartement,53.0,3.0,,,,,,5.937337,43.114377,Toulon - Haute ville
2025-1075461,2025-01-07,1,Vente,28000.0,349.0,,QUAI EMILE GRENIER,2584,83200.0,83137,Toulon,83,,,83137000DK0676,,,3.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.905614,43.134302,Toulon - Ubc - Dardennes - Barbanne
2025-1075466,2025-01-17,1,Vente,470450.0,1041.0,,CHE DU FORT ROUGE,2925,83200.0,83137,Toulon,83,,,83137000EW0225,,,,,,,,,,,,,0,1.0,Maison,36.0,3.0,S,sols,,,257.0,5.919121,43.141984,Toulon - Ubc - Dardennes - Barbanne
2025-1075467,2025-01-13,1,Vente,155000.0,3.0,,AV LOUIS MICHEL VAN LOO,4657,83100.0,83137,Toulon,83,,,83137000AS0405,,,3.0,48.3,,,,,,,,,1,2.0,Appartement,35.0,2.0,,,,,,5.954587,43.12904,Toulon - Haute ville
2025-1075468,2025-01-10,1,Vente,30000.0,737.0,E,CHE DE FORGENTIER,2900,83200.0,83137,Toulon,83,,,83137000DS0616,,,1250.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.896769,43.135986,Toulon - Ubc - Dardennes - Barbanne
2025-1075477,2025-01-10,1,Vente,369650.0,121.0,,CHE DE MONTZEY,5320,83000.0,83137,Toulon,83,,,83137000BO0528,,,36.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.960304,43.112239,Toulon - Haute ville
2025-1075477,2025-01-10,1,Vente,369650.0,121.0,,CHE DE MONTZEY,5320,83000.0,83137,Toulon,83,,,83137000BO0528,,,28.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.960304,43.112239,Toulon - Haute ville
2025-1075477,2025-01-10,1,Vente,369650.0,121.0,,CHE DE MONTZEY,5320,83000.0,83137,Toulon,83,,,83137000BO0528,,,1.0,77.43,36.0,,,,,,,,2,2.0,Appartement,75.0,3.0,,,,,,5.960304,43.112239,Toulon - Haute ville
2025-1075484,2025-01-14,1,Vente,28000.0,229.0,,AV AMIRAL JAUJARD,0237,83000.0,83137,Toulon,83,,,83137000BZ0126,,,105.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.939397,43.118522,Toulon - Haute ville
2025-1075493,2025-01-17,1,Vente,3500.0,2.0,,RUE ROCHE,6270,83000.0,83137,Toulon,83,,,83137000CK0161,,,7.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.934729,43.123105,Toulon - Haute ville
2025-1075497,2025-01-17,1,Vente,120000.0,122.0,,AV BIR HAKEIM,0901,83200.0,83137,Toulon,83,,,83137000CX0011,,,328.0,,338.0,62.13,,,,,,,2,2.0,Appartement,62.0,4.0,,,,,,5.911328,43.131483,Toulon - Ubc - Dardennes - Barbanne
2025-1075497,2025-01-17,1,Vente,120000.0,122.0,,AV BIR HAKEIM,0901,83200.0,83137,Toulon,83,,,83137000CX0011,,,328.0,,338.0,62.13,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.911328,43.131483,Toulon - Ubc - Dardennes - Barbanne
2025-1075497,2025-01-17,1,Vente,120000.0,122.0,,AV BIR HAKEIM,0901,83200.0,83137,Toulon,83,,,83137000CX0011,,,328.0,,338.0,62.13,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.911328,43.131483,Toulon - Ubc - Dardennes - Barbanne
2025-1075499,2025-01-10,1,Vente,174500.0,19.0,,RUE ALEXANDRE VOLTA,0140,83100.0,83137,Toulon,83,,,83137000AT0054,,,14.0,,2.0,60.25,,,,,,,2,2.0,Appartement,60.0,4.0,,,,,,5.963934,43.132241,Toulon - Haute ville
2025-1075499,2025-01-10,1,Vente,174500.0,19.0,,RUE ALEXANDRE VOLTA,0140,83100.0,83137,Toulon,83,,,83137000AT0054,,,14.0,,2.0,60.25,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.963934,43.132241,Toulon - Haute ville
2025-1075512,2025-01-10,1,Vente,430900.0,404.0,,CHE ARTHUR,0435,83200.0,83137,Toulon,83,,,83137000DP0210,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,630.0,5.887818,43.129897,Toulon - Ubc - Dardennes - Barbanne
2025-1075512,2025-01-10,1,Vente,430900.0,404.0,,CHE ARTHUR,0435,83200.0,83137,Toulon,83,,,83137000DP0210,,,,,,,,,,,,,0,1.0,Maison,91.0,4.0,S,sols,,,630.0,5.887818,43.129897,Toulon - Ubc - Dardennes - Barbanne
2025-1075512,2025-01-10,1,Vente,430900.0,404.0,,CHE ARTHUR,0435,83200.0,83137,Toulon,83,,,83137000DP0210,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,630.0,5.887818,43.129897,Toulon - Ubc - Dardennes - Barbanne
2025-1075513,2025-01-08,1,Vente,207250.0,295.0,,BD DELESCLUZE,2135,83200.0,83137,Toulon,83,,,83137000DI0520,,,135.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.902529,43.137123,Toulon - Ubc - Dardennes - Barbanne
2025-1075513,2025-01-08,1,Vente,207250.0,291.0,,BD DELESCLUZE,2135,83200.0,83137,Toulon,83,,,83137000DI0520,,,1.0,,28.0,70.84,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.902529,43.137123,Toulon - Ubc - Dardennes - Barbanne
2025-1075513,2025-01-08,1,Vente,207250.0,291.0,,BD DELESCLUZE,2135,83200.0,83137,Toulon,83,,,83137000DI0520,,,1.0,,28.0,70.84,,,,,,,2,2.0,Appartement,71.0,3.0,,,,,,5.902529,43.137123,Toulon - Ubc - Dardennes - Barbanne
2025-1075514,2025-01-09,1,Vente,114187.0,33.0,,RUE LARMODIEU,4317,83000.0,83137,Toulon,83,,,83137000CN0716,,,3.0,44.22,,,,,,,,,1,2.0,Appartement,47.0,2.0,,,,,,5.93069,43.123117,Toulon - Haute ville
2025-1075518,2025-01-10,1,Vente,170000.0,26.0,,RUE GEORGES BERTON,3335,83000.0,83137,Toulon,83,,,83137000BV0515,,,17.0,49.89,,,,,,,,,1,2.0,Appartement,51.0,3.0,,,,,,5.938847,43.110065,Toulon - Haute ville
2025-1075518,2025-01-10,1,Vente,170000.0,26.0,,RUE GEORGES BERTON,3335,83000.0,83137,Toulon,83,,,83137000BV0515,,,17.0,49.89,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.938847,43.110065,Toulon - Haute ville
2025-1075525,2025-01-06,1,Vente,264665.0,183.0,,RUE CAMILLE FLAMMARION,1160,83100.0,83137,Toulon,83,,,83137000AT0033,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,293.0,5.963479,43.130198,Toulon - Haute ville
2025-1075525,2025-01-06,1,Vente,264665.0,183.0,,RUE CAMILLE FLAMMARION,1160,83100.0,83137,Toulon,83,,,83137000AT0033,,,,,,,,,,,,,0,1.0,Maison,78.0,3.0,S,sols,,,293.0,5.963479,43.130198,Toulon - Haute ville
2025-1075525,2025-01-06,1,Vente,264665.0,183.0,,RUE CAMILLE FLAMMARION,1160,83100.0,83137,Toulon,83,,,83137000AT0033,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,293.0,5.963479,43.130198,Toulon - Haute ville
2025-1075526,2025-01-06,1,Vente,285280.0,7.0,,RUE DES SAVONNIERES,6690,83000.0,83137,Toulon,83,,,83137000CN0082,,,14.0,78.92,,,,,,,,,1,2.0,Appartement,100.0,4.0,,,,,,5.930308,43.122387,Toulon - Haute ville
2025-1075528,2025-01-06,1,Vente,99000.0,82.0,,RUE ALEZARD,0125,83000.0,83137,Toulon,83,,,83137000CL0330,,,5.0,38.2,,,,,,,,,1,2.0,Appartement,18.0,2.0,,,,,,5.934488,43.122587,Toulon - Haute ville
2025-1075528,2025-01-06,1,Vente,99000.0,82.0,,RUE ALEZARD,0125,83000.0,83137,Toulon,83,,,83137000CL0330,,,5.0,38.2,,,,,,,,,1,2.0,Appartement,20.0,2.0,,,,,,5.934488,43.122587,Toulon - Haute ville
2025-1075529,2025-01-06,1,Vente,120000.0,15.0,,RUE GIMELLI,3385,83000.0,83137,Toulon,83,,,83137000CO0243,,,1.0,,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,200.0,0.0,,,,,,5.928483,43.127051,Toulon - Haute ville
